,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
0,negative,6,critical account,radio OR tv,1169,unknown OR no savings account,7y <= ...,4,male : single,none,4,real estate,67,none,own,2,skilled employed OR official ,1,yes,yes,1
1, 0 <= ... <= 200,48,existing AND duly paid,radio OR tv,5951, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,2,real estate,22,none,own,1,skilled employed OR official ,1,no,yes,2
2,none,12,critical account,education,2096, ... < 100,4 <= ... < 7y,2,male : single,none,3,real estate,49,none,own,1,unskilled - resident,2,no,yes,1
3,negative,42,existing AND duly paid,furniture,7882, ... < 100,4 <= ... < 7y,2,male : single,guarantor,4,society savings agreement OR life insurance,45,none,for free,1,skilled employed OR official ,2,no,yes,1
4,negative,24,delayed,car (new),4870, ... < 100,1 <= ... < 4y,3,male : single,none,4,none OR unknown,53,none,for free,2,skilled employed OR official ,2,no,yes,2
5,none,36,existing AND duly paid,education,9055,unknown OR no savings account,1 <= ... < 4y,2,male : single,none,4,none OR unknown,35,none,for free,1,unskilled - resident,2,yes,yes,1
6,none,24,existing AND duly paid,furniture,2835,500 <= ... < 1000,7y <= ...,3,male : single,none,4,society savings agreement OR life insurance,53,none,own,1,skilled employed OR official ,1,no,yes,1
7, 0 <= ... <= 200,36,existing AND duly paid,car (used),6948, ... < 100,1 <= ... < 4y,2,male : single,none,2,car OR other,35,none,rent,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
8,none,12,existing AND duly paid,radio OR tv,3059,1000 <= ...,4 <= ... < 7y,2,male : separated OR divorced,none,4,real estate,61,none,own,1,unskilled - resident,1,no,yes,1
9, 0 <= ... <= 200,30,critical account,car (new),5234, ... < 100,unemployed,4,male : married,none,2,car OR other,28,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,no,yes,2
10, 0 <= ... <= 200,12,existing AND duly paid,car (new),1295, ... < 100, ... < 1y,3,female : married OR separated OR divorced,none,1,car OR other,25,none,rent,1,skilled employed OR official ,1,no,yes,2
11,negative,48,existing AND duly paid,business,4308, ... < 100, ... < 1y,3,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,24,none,rent,1,skilled employed OR official ,1,no,yes,2
12, 0 <= ... <= 200,12,existing AND duly paid,radio OR tv,1567, ... < 100,1 <= ... < 4y,1,female : married OR separated OR divorced,none,1,car OR other,22,none,own,1,skilled employed OR official ,1,yes,yes,1
13,negative,24,critical account,car (new),1199, ... < 100,7y <= ...,4,male : single,none,4,car OR other,60,none,own,2,unskilled - resident,1,no,yes,2
14,negative,15,existing AND duly paid,car (new),1403, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,4,car OR other,28,none,rent,1,skilled employed OR official ,1,no,yes,1
15,negative,24,existing AND duly paid,radio OR tv,1282,100 <= ... < 500,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,car OR other,32,none,own,1,unskilled - resident,1,no,yes,2
16,none,24,critical account,radio OR tv,2424,unknown OR no savings account,7y <= ...,4,male : single,none,4,society savings agreement OR life insurance,53,none,own,2,skilled employed OR official ,1,no,yes,1
17,negative,30,none OR duly paid,business,8072,unknown OR no savings account, ... < 1y,2,male : single,none,3,car OR other,25,bank,own,3,skilled employed OR official ,1,no,yes,1
