,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
1,none,18,fully paid,car (used),1049,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none,x >= 7y,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,good
2,none,9,fully paid,other,2799,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,36,none,for free,2 to 3,skilled employee/official,3 or more,no,no,good
3,negative,12,none/duly paid,retraining,841,x < 100 DM,4 <= x < 7y,25 <= x < 35,female: non-single or male: single,none,x >= 7y,unknown / no property,23,none,for free,1,unskilled - resident,0 to 2,no,no,good
4,none,12,fully paid,other,2122,unknown/no savings account,1<= x < 4y,20 <= x < 25,male : married/widowed,none,1y <= x < 4y,unknown / no property,39,none,for free,2 to 3,unskilled - resident,3 or more,no,yes,good
5,none,12,fully paid,other,2171,unknown/no savings account,1<= x < 4y,x < 20,male : married/widowed,none,x >= 7y,car or other,38,bank,rent,2 to 3,unskilled - resident,0 to 2,no,yes,good
6,none,10,fully paid,other,2241,unknown/no savings account, x < 1y,x >= 35,male : married/widowed,none,4y <= x < 7y,unknown / no property,48,none,for free,2 to 3,unskilled - resident,3 or more,no,yes,good
7,none,8,fully paid,other,3398,unknown/no savings account,4 <= x < 7y,x >= 35,male : married/widowed,none,x >= 7y,unknown / no property,39,none,rent,2 to 3,unskilled - resident,0 to 2,no,yes,good
8,none,6,fully paid,other,1361,unknown/no savings account, x < 1y,25 <= x < 35,male : married/widowed,none,x >= 7y,unknown / no property,40,none,rent,1,unskilled - resident,3 or more,no,yes,good
9,x >= 200,18,fully paid,furniture,1098,unknown/no savings account,unemployed,x < 20,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,65,none,rent,2 to 3,unemployed/unskilled - non-resident,0 to 2,no,no,good
10,negative,24,none/duly paid,furniture,3758,100 <= x < 500,unemployed,x >= 35,female: non-single or male: single,none,x >= 7y,real estate,23,none,for free,1,unemployed/unskilled - non-resident,0 to 2,no,no,good
11,none,11,fully paid,other,3905,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,36,none,for free,2 to 3,skilled employee/official,3 or more,no,no,good
12,none,30,fully paid,car (new),6187,x < 100 DM,4 <= x < 7y,x >= 35,female : single,none,x >= 7y,building soc. savings agr./life insurance,24,none,for free,2 to 3,skilled employee/official,0 to 2,no,no,good
13,none,6,fully paid,furniture,1957,unknown/no savings account,4 <= x < 7y,x >= 35,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,no,no,good
14,negative,48,duly paid till now,business,7582,x < 100 DM,unemployed,25 <= x < 35,male : married/widowed,none,x >= 7y,real estate,31,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
15,none,18,none/duly paid,furniture,1936,1000 <= x,4 <= x < 7y,25 <= x < 35,female : single,none,x >= 7y,building soc. savings agr./life insurance,23,none,for free,2 to 3,unskilled - resident,0 to 2,no,no,good
16,none,6,none/duly paid,furniture,2647,100 <= x < 500,1<= x < 4y,25 <= x < 35,male : married/widowed,none,4y <= x < 7y,unknown / no property,44,none,for free,1,skilled employee/official,3 or more,no,no,good
17,none,11,fully paid,other,3939,unknown/no savings account,1<= x < 4y,x >= 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,40,none,rent,2 to 3,unskilled - resident,3 or more,no,no,good
18,negative,18,none/duly paid,furniture,3213,100 <= x < 500, x < 1y,x >= 35,female : single,none,4y <= x < 7y,unknown / no property,25,none,for free,1,skilled employee/official,0 to 2,no,no,good
19,negative,36,fully paid,furniture,2337,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
20,x >= 200,11,fully paid,other,7228,unknown/no savings account,1<= x < 4y,x >= 35,male : married/widowed,none,x >= 7y,car or other,39,none,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
21,none,6,fully paid,other,3676,unknown/no savings account,1<= x < 4y,x >= 35,male : married/widowed,none,4y <= x < 7y,unknown / no property,37,none,for free,4 to 5,skilled employee/official,3 or more,no,no,good
22,negative,12,fully paid,other,3124,unknown/no savings account, x < 1y,x >= 35,male : married/widowed,none,4y <= x < 7y,unknown / no property,49,bank,rent,2 to 3,unskilled - resident,3 or more,no,no,good
23,negative,36,none/duly paid,domestic appliances,2384,unknown/no savings account, x < 1y,x < 20,male : married/widowed,none, x < 1y,real estate,33,none,for free,1,unskilled - resident,0 to 2,no,no,bad
24,negative,12,fully paid,radio/television,1424,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,none,4y <= x < 7y,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
