,checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,status_and_sex,co-applicants_guarantors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_to_provide_maintenance_for,telephone,foreign_worker,customer_goodness
0,negative,6,critical_account,radio_tv,1169,unknown,over_7y,4,male_single,none,4,real_estate,67,none,own,2,employed,1,yes,yes,1
1,0_to_200,48,existing_duly_paid,radio_tv,5951,up_to_100,1_to_4y,2,female_married_separated,none,2,real_estate,22,none,own,1,employed,1,no,yes,0
2,none,12,critical_account,education,2096,up_to_100,4_to_7y,2,male_single,none,3,real_estate,49,none,own,1,unskilled_resident,2,no,yes,1
3,negative,42,existing_duly_paid,furniture,7882,up_to_100,4_to_7y,2,male_single,guarantor,4,building_society_savings_agreement_or_life_insurance,45,none,free,1,employed,2,no,yes,1
4,negative,24,delayed,car_new,4870,up_to_100,1_to_4y,3,male_single,none,4,none_unknown,53,none,free,2,employed,2,no,yes,0
5,none,36,existing_duly_paid,education,9055,unknown,1_to_4y,2,male_single,none,4,none_unknown,35,none,free,1,unskilled_resident,2,yes,yes,1
6,none,24,existing_duly_paid,furniture,2835,500_to_1000,over_7y,3,male_single,none,4,building_society_savings_agreement_or_life_insurance,53,none,own,1,employed,1,no,yes,1
7,0_to_200,36,existing_duly_paid,car:used,6948,up_to_100,1_to_4y,2,male_single,none,2,car_other,35,none,rent,1,highly_qualified_or_self-employed,1,yes,yes,1
8,none,12,existing_duly_paid,radio_tv,3059,over_1000,4_to_7y,2,male_separated,none,4,real_estate,61,none,own,1,unskilled_resident,1,no,yes,1
9,0_to_200,30,critical_account,car_new,5234,up_to_100,unemployed,4,male_married,none,2,car_other,28,none,own,2,highly_qualified_or_self-employed,1,no,yes,0
10,0_to_200,12,existing_duly_paid,car_new,1295,up_to_100,up_to_1y,3,female_married_separated,none,1,car_other,25,none,rent,1,employed,1,no,yes,0
11,negative,48,existing_duly_paid,business,4308,up_to_100,up_to_1y,3,female_married_separated,none,4,building_society_savings_agreement_or_life_insurance,24,none,rent,1,employed,1,no,yes,0
12,0_to_200,12,existing_duly_paid,radio_tv,1567,up_to_100,1_to_4y,1,female_married_separated,none,1,car_other,22,none,own,1,employed,1,yes,yes,1
13,negative,24,critical_account,car_new,1199,up_to_100,over_7y,4,male_single,none,4,car_other,60,none,own,2,unskilled_resident,1,no,yes,0
14,negative,15,existing_duly_paid,car_new,1403,up_to_100,1_to_4y,2,female_married_separated,none,4,car_other,28,none,rent,1,employed,1,no,yes,1
15,negative,24,existing_duly_paid,radio_tv,1282,100_to_500,1_to_4y,4,female_married_separated,none,2,car_other,32,none,own,1,unskilled_resident,1,no,yes,0
16,none,24,critical_account,radio_tv,2424,unknown,over_7y,4,male_single,none,4,building_society_savings_agreement_or_life_insurance,53,none,own,2,employed,1,no,yes,1
17,negative,30,none_or_duly_paid,business,8072,unknown,up_to_1y,2,male_single,none,3,car_other,25,bank,own,3,employed,1,no,yes,1
18,0_to_200,24,existing_duly_paid,car:used,12579,up_to_100,over_7y,4,female_married_separated,none,2,none_unknown,44,none,free,1,highly_qualified_or_self-employed,1,yes,yes,0
19,none,24,existing_duly_paid,radio_tv,3430,500_to_1000,over_7y,3,male_single,none,2,car_other,31,none,own,1,employed,2,yes,yes,1
20,none,9,critical_account,car_new,2134,up_to_100,1_to_4y,4,male_single,none,4,car_other,48,none,own,3,employed,1,yes,yes,1
21,negative,6,existing_duly_paid,radio_tv,2647,500_to_1000,1_to_4y,2,male_single,none,3,real_estate,44,none,rent,1,employed,2,no,yes,1
22,negative,10,critical_account,car_new,2241,up_to_100,up_to_1y,1,male_single,none,3,real_estate,48,none,rent,2,unskilled_resident,2,no,no,1
23,0_to_200,12,critical_account,car:used,1804,100_to_500,up_to_1y,3,male_single,none,4,building_society_savings_agreement_or_life_insurance,44,none,own,1,employed,1,no,yes,1
24,none,10,critical_account,furniture,2069,unknown,1_to_4y,2,male_married,none,1,car_other,26,none,own,2,employed,1,no,no,1
25,negative,6,existing_duly_paid,furniture,1374,up_to_100,1_to_4y,1,male_single,none,2,real_estate,36,bank,own,1,unskilled_resident,1,yes,yes,1
26,none,6,none_or_duly_paid,radio_tv,426,up_to_100,over_7y,4,male_married,none,4,car_other,39,none,own,1,unskilled_resident,1,no,yes,1
27,over_200,12,duly_paid,radio_tv,409,over_1000,1_to_4y,3,female_married_separated,none,3,real_estate,42,none,rent,2,employed,1,no,yes,1
28,0_to_200,7,existing_duly_paid,radio_tv,2415,up_to_100,1_to_4y,3,male_single,guarantor,2,real_estate,34,none,own,1,employed,1,no,yes,1
29,negative,60,delayed,business,6836,up_to_100,over_7y,3,male_single,none,4,none_unknown,63,none,own,2,employed,1,yes,yes,0
30,0_to_200,18,existing_duly_paid,business,1913,over_1000,up_to_1y,3,male_married,none,3,real_estate,36,bank,own,1,employed,1,yes,yes,1
31,negative,24,existing_duly_paid,furniture,4020,up_to_100,1_to_4y,2,male_single,none,2,car_other,27,stores,own,1,employed,1,no,yes,1
32,0_to_200,18,existing_duly_paid,car_new,5866,100_to_500,1_to_4y,2,male_single,none,2,car_other,30,none,own,2,employed,1,yes,yes,1
33,none,12,critical_account,business,1264,unknown,over_7y,4,male_single,none,4,none_unknown,57,none,rent,1,unskilled_resident,1,no,yes,1
34,over_200,12,existing_duly_paid,furniture,1474,up_to_100,up_to_1y,4,female_married_separated,none,1,building_society_savings_agreement_or_life_insurance,33,bank,own,1,highly_qualified_or_self-employed,1,yes,yes,1
35,0_to_200,45,critical_account,radio_tv,4746,up_to_100,up_to_1y,4,male_single,none,2,building_society_savings_agreement_or_life_insurance,25,none,own,2,unskilled_resident,1,no,yes,0
36,none,48,critical_account,education,6110,up_to_100,1_to_4y,1,male_single,none,3,none_unknown,31,bank,free,1,employed,1,yes,yes,1
