,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
1,No Account,18,fully paid back,car (used),1049,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,>= 7 yrs,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,good
2,No Account,9,fully paid back,others,2799,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,unknown / no property,36,none,for free,2,skilled employee/official,3 or more,no,no,good
3,<0 DM,12,none open,retraining,841,<100 DM,4-6 yrs,25-34,female: non-single or male: single,none,>= 7 yrs,unknown / no property,23,none,for free,1,unskilled - resident,0 to 2,no,no,good
4,No Account,12,fully paid back,others,2122,unknown/no savings account,1-3 yrs,20-24,male : married/widowed,none,1-3 yrs,unknown / no property,39,none,for free,2,unskilled - resident,3 or more,no,yes,good
5,No Account,12,fully paid back,others,2171,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,car or other,38,bank,rent,2,unskilled - resident,0 to 2,no,yes,good
6,No Account,10,fully paid back,others,2241,unknown/no savings account,<1 yr,>= 35,male : married/widowed,none,4-6 yrs,unknown / no property,48,none,for free,2,unskilled - resident,3 or more,no,yes,good
7,No Account,8,fully paid back,others,3398,unknown/no savings account,4-6 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,39,none,rent,2,unskilled - resident,0 to 2,no,yes,good
8,No Account,6,fully paid back,others,1361,unknown/no savings account,<1 yr,25-34,male : married/widowed,none,>= 7 yrs,unknown / no property,40,none,rent,1,unskilled - resident,3 or more,no,yes,good
9,>=200 DM,18,fully paid back,furniture/equipment,1098,unknown/no savings account,unemployed,<20,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,65,none,rent,2,unemployed/unskilled - non-resident,0 to 2,no,no,good
10,<0 DM,24,none open,furniture/equipment,3758,100-500 DM,unemployed,>= 35,female: non-single or male: single,none,>= 7 yrs,real estate,23,none,for free,1,unemployed/unskilled - non-resident,0 to 2,no,no,good
11,No Account,11,fully paid back,others,3905,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,unknown / no property,36,none,for free,2,skilled employee/official,3 or more,no,no,good
12,No Account,30,fully paid back,car (new),6187,<100 DM,4-6 yrs,>= 35,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,24,none,for free,2,skilled employee/official,0 to 2,no,no,good
13,No Account,6,fully paid back,furniture/equipment,1957,unknown/no savings account,4-6 yrs,>= 35,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,no,no,good
14,<0 DM,48,paid open rates,business,7582,<100 DM,unemployed,25-34,male : married/widowed,none,>= 7 yrs,real estate,31,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
15,No Account,18,none open,furniture/equipment,1936,>=1000 DM,4-6 yrs,25-34,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,for free,2,unskilled - resident,0 to 2,no,no,good
16,No Account,6,none open,furniture/equipment,2647,100-500 DM,1-3 yrs,25-34,male : married/widowed,none,4-6 yrs,unknown / no property,44,none,for free,1,skilled employee/official,3 or more,no,no,good
17,No Account,11,fully paid back,others,3939,unknown/no savings account,1-3 yrs,>= 35,male : married/widowed,none,1-3 yrs,unknown / no property,40,none,rent,2,unskilled - resident,3 or more,no,no,good
18,<0 DM,18,none open,furniture/equipment,3213,100-500 DM,<1 yr,>= 35,female : single,none,4-6 yrs,unknown / no property,25,none,for free,1,skilled employee/official,0 to 2,no,no,good
19,<0 DM,36,fully paid back,furniture/equipment,2337,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
20,>=200 DM,11,fully paid back,others,7228,unknown/no savings account,1-3 yrs,>= 35,male : married/widowed,none,>= 7 yrs,car or other,39,none,rent,2,unskilled - resident,0 to 2,no,no,good
21,No Account,6,fully paid back,others,3676,unknown/no savings account,1-3 yrs,>= 35,male : married/widowed,none,4-6 yrs,unknown / no property,37,none,for free,3,skilled employee/official,3 or more,no,no,good
22,<0 DM,12,fully paid back,others,3124,unknown/no savings account,<1 yr,>= 35,male : married/widowed,none,4-6 yrs,unknown / no property,49,bank,rent,2,unskilled - resident,3 or more,no,no,good
